R,S,K,G,L,F
0.0,1.0,0.8443584,2.3647766,1.550472,3.3043013
1.0,1.0,0.2615719,3.6002054,4.0716863,4.786717
0.0,0.0,0.13387011,0.56751764,0.72630244,0.9007307
1.0,0.0,0.15351115,4.638536,6.083236,5.824906
1.0,0.0,-0.5690431,1.7391087,2.4778144,2.5145664
0.0,0.0,-1.335967,0.0015260726,-0.15993413,-0.079903424
1.0,1.0,-0.8502025,0.6281597,0.5198,0.90756977
0.0,0.0,-0.7682871,0.14342767,0.27857435,0.79623836
0.0,0.0,0.25188464,1.0575173,1.1842196,2.3644295
0.0,0.0,0.20635886,0.7257098,0.7176418,1.3293817
1.0,1.0,-1.7616897,2.643346,3.00401,3.6486883
0.0,0.0,0.71237135,0.78370845,0.592734,1.5444359
1.0,1.0,-0.16843504,0.65805936,0.76985794,0.9876776
0.0,0.0,-0.4525637,0.19249171,0.1745984,0.46781927
1.0,1.0,0.2685136,0.2457886,0.17231464,-0.11447384
0.0,0.0,-0.88654906,0.050109208,0.012723923,0.96741223
0.0,0.0,1.6847765,1.6211439,1.5486741,2.2949634
0.0,0.0,-0.16958112,0.26515356,0.37821457,1.0545018
1.0,0.0,0.47983503,1.1840417,1.4387677,1.4294975
1.0,0.0,1.002212,3.8752651,5.328613,5.0780797
1.0,1.0,0.79721063,7.209877,8.096178,9.362072
1.0,1.0,1.1659513,4.6956186,5.0615244,5.801137
1.0,1.0,-0.11110518,4.0199847,4.4671745,5.385312
1.0,0.0,-0.9465781,3.1255043,4.499137,4.396938
0.0,0.0,0.84234774,-0.07959628,0.23165402,0.21328638
0.0,1.0,-0.4690918,1.9686385,0.96633536,3.2694464
0.0,0.0,-1.9458557,-0.7019752,-0.42270553,-0.071003854
1.0,0.0,0.37300336,2.6817503,3.7524366,3.349411
1.0,1.0,-0.9495934,0.39437905,0.63069206,0.64495337
0.0,0.0,2.0284603,1.4600751,1.736185,2.264123
0.0,0.0,1.5962006,0.19560194,0.26388952,0.320912
0.0,1.0,-0.19191547,1.4378637,0.51255286,2.2593994
0.0,1.0,0.7146388,2.979772,1.8827498,4.427064
1.0,1.0,0.4306447,6.2014275,7.4333696,8.439653
1.0,0.0,1.5111693,1.014191,1.3355006,1.1250303
0.0,1.0,0.47567007,2.7335863,1.8368577,3.9530067
0.0,1.0,-0.09065033,2.2762175,1.1129313,3.5131068
0.0,0.0,0.110827826,0.56674176,0.3163525,0.67388177
1.0,0.0,0.5116906,5.1295457,7.0724792,6.513507
0.0,0.0,-1.9772551,-0.46878362,-0.36865258,0.12564194
1.0,0.0,1.7802266,3.2233934,4.2346973,4.094103
1.0,1.0,0.8134705,4.0505066,4.6776795,5.44006
0.0,1.0,0.6654116,0.40425792,0.35578474,0.63849306
0.0,1.0,-0.76925087,0.42478222,0.13295355,0.55184025
0.0,1.0,-1.9689728,0.11252642,-0.43772435,1.4093821
1.0,0.0,-0.41947687,2.7135007,3.9253612,3.6548748
1.0,1.0,0.84083104,2.3656363,2.9527593,3.1901708
1.0,1.0,1.5807458,0.6890067,0.51755875,0.7794103
0.0,1.0,-0.6927107,0.3083494,0.09029294,0.13695101
1.0,0.0,-0.52115,3.9833875,6.0777955,5.7401533
1.0,1.0,-0.15403894,5.1469784,5.962328,6.905609
1.0,1.0,-1.2190473,3.0559366,3.6179135,4.526963
1.0,1.0,-1.4310819,3.7393994,4.391519,5.599948
